"TI","AU","PY","SO","TC","DE","AB"
"DEVELOPMENT AND USE OF MICROSATELLITE MARKERS FOR GENETIC DIVERSITY ANALYSIS OF CAÑAHUA (CHENOPODIUM PALLIDICAULE AELLEN)","VARGAS A;ELZINGA DB;ROJAS-BELTRAN JA;BONIFACIO A;GEARY B;STEVENS MR;JELLEN EN;MAUGHAN PJ",2011,"GENETIC RESOURCES AND CROP EVOLUTION",13,"CAÑAHUAF; GENETIC DIVERSITY; MICROSATELLITE MARKERS; POPULATION STRUCTURE","CAÑAHUA (CHENOPODIUM PALLIDICAULE AELLEN) IS A POORLY STUDIED, ANNUAL SUBSISTENCE CROP OF THE HIGH ANDES OF SOUTH AMERICA. ITS NUTRITIONAL VALUE (HIGH IN PROTEIN AND MINERAL CONTENT) AND ABILITY TO THRIVE IN HARSH CLIMATES MAKE IT AN IMPORTANT REGIONAL FOOD CROP THROUGHOUT THE ANDEAN REGION. THE OBJECTIVES OF THIS STUDY WERE TO DEVELOP GENETIC MARKERS AND TO QUANTIFY GENETIC DIVERSITY WITHIN CAÑAHUA. A SET OF 43 WILD AND CULTIVATED CAÑAHUA GENOTYPES AND TWO RELATED SPECIES (CHENOPODIUM QUINOA WILLD. AND CHENOPODIUM PETIOLARE KUNTH) WERE EVALUATED FOR POLYMORPHISM USING 192 MICROSATELLITE MARKERS DERIVED FROM RANDOM GENOMIC CAÑAHUA SEQUENCES PRODUCED BY 454 PYROSEQUENCING OF CAÑAHUA GENOMIC DNA. ANOTHER 424 MICROSATELLITE MARKERS FROM C. QUINOA WERE ALSO EVALUATED FOR CROSS-SPECIES AMPLIFICATION AND POLYMORPHISM IN CAÑAHUA. A TOTAL OF 34 POLYMORPHIC MICROSATELLITE MARKER LOCI WERE IDENTIFIED WHICH DETECTED A TOTAL OF 154 ALLELES WITH AN AVERAGE OF 4. 5 ALLELES PER MARKER LOCUS AND AN AVERAGE HETEROZYGOSITY VALUE OF 0. 49. A CLUSTER ANALYSIS, BASED ON NEI GENETIC DISTANCE, CLEARLY SEPARATED FROM WILD CAÑAHUA GENOTYPES FROM THE CULTIVATED GENOTYPES. WITHIN THE CULTIVATED GENOTYPES, SUBCLADES WERE PARTITIONED BY AMOVA ANALYSIS INTO SIX MODEL-BASED CLUSTERS, INCLUDING A SUBCLADE CONSISTING SOLE OF ERECT MORPHOTYPES. THE ISOLATION BY DISTANCE TEST DISPLAYED NO SIGNIFICANT CORRELATION BETWEEN GEOGRAPHIC COLLECTION ORIGIN AND GENOTYPIC DATA, SUGGESTING THAT CAÑAHUA POPULATIONS HAVE MOVED EXTENSIVELY, PRESUMABLY VIA ANCIENT FOOD EXCHANGE STRATEGIES AMONG NATIVE PEOPLES OF THE ANDEAN REGION. THE MOLECULAR MARKERS REPORTED HERE ARE A SIGNIFICANT RESOURCE FOR ONGOING EFFORTS TO CHARACTERIZE THE EXTENSIVE BOLIVIAN AND PERUVIAN CAÑAHUA GERMPLASM BANKS, INCLUDING THE DEVELOPMENT OF CORE GERMPLASM COLLECTIONS NEEDED TO SUPPORT EMERGING BREEDING PROGRAMS. © 2010 SPRINGER SCIENCE+BUSINESS MEDIA B.V."
"THE GENOME OF CHENOPODIUM PALLIDICAULE: AN EMERGING ANDEAN SUPER GRAIN","MANGELSON H;JARVIS DE;MOLLINEDO P;ROLLANO-PENALOZA OM;PALMA-ENCINAS VD;GOMEZ-PANDO LR;JELLEN EN;MAUGHAN PJ",2019,"APPLICATIONS IN PLANT SCIENCES",30,"AMARANTHACEAE; ANDEAN CROPS; CHENOPODIUM PALLIDICAULE; HI-C; PROXIMITY-GUIDED ASSEMBLY","PREMISE: CAÑAHUA IS A SEMI-DOMESTICATED CROP GROWN IN HIGH-ALTITUDE REGIONS OF THE ANDES. IT IS AN A-GENOME DIPLOID (2N = 2X = 18) RELATIVE OF THE ALLOTETRAPLOID (AABB) CHENOPODIUM QUINOA AND SHARES MANY OF ITS NUTRITIONAL BENEFITS. CAÑAHUA SEED CONTAINS A COMPLETE PROTEIN, A LOW GLYCEMIC INDEX, AND OFFERS A WIDE VARIETY OF NUTRITIONALLY IMPORTANT VITAMINS AND MINERALS. METHODS: THE REFERENCE ASSEMBLY WAS DEVELOPED USING A COMBINATION OF SHORT- AND LONG-READ SEQUENCING TECHNIQUES, INCLUDING MULTIPLE ROUNDS OF HI-C–BASED PROXIMITY-GUIDED ASSEMBLY. RESULTS: THE FINAL ASSEMBLY OF THE ~363-MBP GENOME CONSISTS OF 4633 SCAFFOLDS, WITH 96.6% OF THE ASSEMBLY CONTAINED IN NINE SCAFFOLDS REPRESENTING THE NINE HAPLOID CHROMOSOMES OF THE SPECIES. REPETITIVE ELEMENT ANALYSIS CLASSIFIED 52.3% OF THE ASSEMBLY AS REPETITIVE, WITH THE MOST COMMON REPEAT IDENTIFIED AS LONG TERMINAL REPEAT RETROTRANSPOSONS. MAKER ANNOTATION OF THE FINAL ASSEMBLY YIELDED 22,832 PUTATIVE GENE MODELS. DISCUSSION: WHEN COMPARED WITH QUINOA, STRONG PATTERNS OF SYNTENY SUPPORT THE HYPOTHESIS THAT CAÑAHUA IS A CLOSE A-GENOME DIPLOID RELATIVE, AND THUS POTENTIALLY A SIMPLIFIED MODEL DIPLOID SPECIES FOR GENETIC ANALYSIS AND IMPROVEMENT OF QUINOA. RESEQUENCING AND PHYLOGENETIC ANALYSIS OF A DIVERSITY PANEL OF CAÑAHUA ACCESSIONS SUGGESTS THAT COORDINATED EFFORTS ARE NEEDED TO ENHANCE GENETIC DIVERSITY CONSERVATION WITHIN EX SITU GERMPLASM COLLECTIONS. © 2019 MANGELSON ET AL. APPLICATIONS IN PLANT SCIENCES IS PUBLISHED BY WILEY PERIODICALS, INC. ON BEHALF OF THE BOTANICAL SOCIETY OF AMERICA"
"ASSESSMENT OF GENETIC DIVERSITY IN PERUVIAN AMARANTH (AMARANTHUS CAUDATUS AND A. HYBRIDUS) GERMPLASM USING SINGLE NUCLEOTIDE POLYMORPHISM MARKERS","JIMENEZ FR;MAUGHAN PJ;ALVAREZ A;KIETLINSKI KD;SMITH SM;PRATT DB;ELZINGA DB;JELLEN EN",2013,"CROP SCIENCE",24,"NA","AMARANTH (AMARANTHUS CAUDATUS L.) IS AN IMPORTANT SEED CROP IN THE ANDES. IT HAS EXCELLENT NUTRITIONAL VALUE AND AMPLE CAPACITY FOR GROWTH UNDER DROUGHT, HEAT, AND SOIL NUTRIENT DEFICIENCY. THE OBJECTIVE OF THIS STUDY WAS TO CHARACTERIZE AND QUANTIFY GENETIC DIVERSITY AMONG A SERIES OF 178 MOSTLY PERUVIAN AMARANTH INDIVIDUALS GENOTYPED FROM AMONG 48 ACCESSIONS USING 96 BIALLELIC SINGLE NUCLEOTIDE POLYMORPHISM (SNP) MARKERS IN KASPAR ASSAYS ON A 96.96 FLUIDIGM EP1 PLATFORM. THE 178 SEED GENOTYPES INCLUDED THE PREDOMINANT WHITE-OPAQUE (WAXY), WHITE-VITREOUS (NONWAXY), BLACK, AND BROWN TYPES, ALL FROM WITHIN THE CENTRO DE INVESTIGACION DE CULTIVOS ANDINOS-UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO COLLECTION. THE SAMPLES SEPARATED INTO TWO GROUPS BASED ON THE SEED COLOR PARAMETER (BLACK, BROWN, AND WHITE-VITREOUS VERSUS WHITEOPAQUE) WITH STRUCTURE ANALYSIS BUT DID NOT FORM DISTINCT GENOTYPIC GROUPS BASED ON GEOGRAPHIC ORIGIN. WHEN ANALYZED AS SEED-COLOR SUBGROUPS-BLACK VS. BROWN VS. WHITE-VITREOUS VS. WHITE-OPAQUE-83.46% OF THE GENETIC VARIATION WAS EXPLAINED BY GENETIC DIFFERENCES WITHIN SUBGROUP. THE HIGHEST AVERAGE OBSERVED HETEROZYGOSITY (HO) WITHIN COLOR-BASED SUBGROUPS WAS 0.2612 IN THE VITREOUS-SEEDED SUBGROUP, AND WITHIN-GROUP EXPECTED HETEROZYGOSITY (HE) WAS HIGHEST IN THE BROWN-SEEDED SUBGROUP (0.398). CLUSTER ANALYSIS AND PRINCIPAL COMPONENT ANALYSIS PARTITIONED THE AMARANTH ACCESSIONS INTO TWO CLUSTERS WITH FOUR DISTINCT SUBCLUSTERS. ANALYSES ALSO REVEALED EVIDENCE FOR SELECTION OF NONWAXY, VITREOUS-SEEDED AMARANTH IN THE ANDES. © CROP SCIENCE SOCIETY OF AMERICA."
"YELLOW LUPIN (LUPINUS LUTEUS L.) TRANSCRIPTOME SEQUENCING: MOLECULAR MARKER DEVELOPMENT AND COMPARATIVE STUDIES","PARRA-GONZÁLEZ LB;ARAVENA-ABARZÚA GA;NAVARRO-NAVARRO CS;UDALL J;MAUGHAN J;PETERSON LM;SALVO-GARRIDO HE;MAUREIRA-BUTLER IJ",2012,"BMC GENOMICS",59,"EST-SSR; LUPINUS LUTEUS; MICROSYNTENY; ORPHAN CROP","BACKGROUND: YELLOW LUPIN (LUPINUS LUTEUS L.) IS A MINOR LEGUME CROP CHARACTERIZED BY ITS HIGH SEED PROTEIN CONTENT. ALTHOUGH GROWN IN SEVERAL TEMPERATE COUNTRIES, ITS ORPHAN CONDITION HAS LIMITED THE GENERATION OF GENOMIC TOOLS TO AID BREEDING EFFORTS TO IMPROVE YIELD AND NUTRITIONAL QUALITY. IN THIS STUDY, WE REPORT THE CONSTRUCTION OF 454-EXPRESED SEQUENCE TAG (EST) LIBRARIES, CARRIED OUT COMPARATIVE STUDIES BETWEEN L. LUTEUS AND MODEL LEGUME SPECIES, DEVELOPED A COMPREHENSIVE SET OF EST-SIMPLE SEQUENCE REPEAT (SSR) MARKERS, AND VALIDATED THEIR UTILITY ON DIVERSITY STUDIES AND TRANSFERABILITY TO RELATED SPECIES.RESULTS: TWO RUNS OF 454 PYROSEQUENCING YIELDED 205 MB AND 530 MB OF SEQUENCE DATA FOR L1 (YOUNG LEAVES, BUDS AND FLOWERS) AND L2 (IMMATURE SEEDS) EST- LIBRARIES. A COMBINED ASSEMBLY (L1L2) YIELDED 71,655 CONTIGS WITH AN AVERAGE CONTIG LENGTH OF 632 NUCLEOTIDES. L1L2 CONTIGS WERE CLUSTERED INTO 55,309 ISOTIGS. 38,200 ISOTIGS TRANSLATED INTO PROTEINS AND 8,741 OF THEM WERE FULL LENGTH. AROUND 57% OF L. LUTEUS SEQUENCES HAD SIGNIFICANT SIMILARITY WITH AT LEAST ONE SEQUENCE OF MEDICAGO, LOTUS, ARABIDOPSIS, OR GLYCINE, AND 40.17% SHOWED POSITIVE MATCHES WITH ALL OF THESE SPECIES. L. LUTEUS ISOTIGS WERE ALSO SCREENED FOR THE PRESENCE OF SSR SEQUENCES. A TOTAL OF 2,572 ISOTIGS CONTAINED AT LEAST ONE EST-SSR, WITH A FREQUENCY OF ONE SSR PER 17.75 KBP. EMPIRICAL EVALUATION OF THE EST-SSR CANDIDATE MARKERS RESULTED IN 222 POLYMORPHIC EST-SSRS. TWO HUNDRED AND FIFTY FOUR (65.7%) AND 113 (30%) SSR PRIMER PAIRS WERE ABLE TO AMPLIFY FRAGMENTS FROM L. HISPANICUS AND L. MUTABILIS DNA, RESPECTIVELY. FIFTY POLYMORPHIC EST-SSRS WERE USED TO GENOTYPE A SAMPLE OF 64 L. LUTEUS ACCESSIONS. NEIGHBOR-JOINING DISTANCE ANALYSIS DETECTED THE EXISTENCE OF SEVERAL CLUSTERS AMONG L. LUTEUS ACCESSIONS, STRONGLY SUGGESTING THE EXISTENCE OF POPULATION SUBDIVISIONS. HOWEVER, NO CLEAR CLUSTERING PATTERNS FOLLOWED THE ACCESSION'S ORIGIN.CONCLUSION: L. LUTEUS DEEP TRANSCRIPTOME SEQUENCING WILL FACILITATE THE FURTHER DEVELOPMENT OF GENOMIC TOOLS AND LUPIN GERMPLASM. MASSIVE SEQUENCING OF CDNA LIBRARIES WILL CONTINUE TO PRODUCE RAW MATERIALS FOR GENE DISCOVERY, IDENTIFICATION OF POLYMORPHISMS (SNPS, EST-SSRS, INDELS, ETC.) FOR MARKER DEVELOPMENT, ANCHORING SEQUENCES FOR GENOME COMPARISONS AND PUTATIVE GENE CANDIDATES FOR QTL DETECTION. © 2012 PARRA-GONZÁLEZ ET AL.; LICENSEE BIOMED CENTRAL LTD."
"FARMERS' UNCONSCIOUS INCORPORATION OF SEXUALLY-PRODUCED GENOTYPES INTO THE GERMPLASM OF A VEGETATIVELY-PROPAGATED CROP (OXALIS TUBEROSA MOL.)","BONNAVE M;BLEECKX G;ROJAS BELTRÁN J;MAUGHAN P;FLAMAND M-C;TERRAZAS F;BERTIN P",2014,"GENETIC RESOURCES AND CROP EVOLUTION",12,"GENETIC DIVERSITY; MICROSATELLITE; OXALIS TUBEROSA; SEXUAL REPRODUCTION; TRADITIONAL CROP MANAGEMENT","CLONAL PROPAGATION AND SEXUAL REPRODUCTION HAVE DIAMETRICALLY OPPOSITE EFFECTS ON THE GENETIC DIVERSITY OF CROPS, PERMITTING, RESPECTIVELY, THE CONSERVATION OF EXISTING GENOTYPES OR THE CREATION OF NEW DIVERSITY. OXALIS TUBEROSA MOL. (""OCA"") EXHIBITS A HETEROMORPHIC SELF-INCOMPATIBILITY SYSTEM AND IS TRADITIONALLY PROPAGATED CLONALLY BUT IS CAPABLE OF SEXUAL REPRODUCTION. IN THIS STUDY WE INVESTIGATED THE INFLUENCE OF SEXUAL REPRODUCTION ON THE IN SITU GENETIC DIVERSITY OF A VEGETATIVELY PROPAGATED CROP, TAKING OCA AS A MODEL PLANT. THE OCCURRENCE OF SEXUAL REPRODUCTION IN NATURAL CONDITIONS AND ITS USE BY FARMERS WERE STUDIED THROUGH SURVEYS AND INTERVIEWS, WHILE THE EFFECT OF SEXUAL REPRODUCTION ON THE IN SITU GENETIC DIVERSITY WAS EVALUATED USING MICROSATELLITE ANALYSIS. PLANTLETS ISSUING FROM SEXUAL REPRODUCTION WERE ENCOUNTERED IN FIVE OF THE NINE VISITED COMMUNITIES. THE INTERVIEWS INDICATED THAT SIX OUT OF THE NINE INTERVIEWED FARMERS WERE LIKELY, ALBEIT UNCONSCIOUSLY, INCORPORATING CLONAL LINEAGES ISSUING FROM SEXUAL REPRODUCTION INTO THEIR VARIETIES. THE MICROSATELLITE ANALYSIS INDICATED A STRONG EFFECT OF SUCH INCORPORATIONS ON THE GENETIC DIVERSITY OF THE PLANT VARIETIES. ASSIGNMENT TESTS CONFIRMED THE ALLOGAMY OF OCA. ""COMPLEX VARIETIES"", MADE UP OF INDIVIDUALS EXHIBITING GENETICALLY DIFFERENTIATED GENOTYPES, WERE MOST LIKELY THE RESULT OF RECENT CROSSING. UNCONSCIOUS INCORPORATION OF NEW GENOTYPES INTO THE CULTIVATED OCA GERMPLASM IS THEREFORE HIGHLY LIKELY, RAISING THE QUESTION OF ITS POTENTIAL OCCURRENCE IN OTHER VEGETATIVELY PROPAGATED CROPS. THESE FINDINGS COULD HAVE AN IMPORTANT EFFECT ON THE ADAPTIVE POTENTIAL OF OCA, ESPECIALLY IN LIGHT OF THE GENETIC EROSION THAT THREATENS THE CROP. © 2013 SPRINGER SCIENCE+BUSINESS MEDIA DORDRECHT."
"ELECTROPHORETIC CHARACTERIZATION OF QUINOA SEED PROTEINS","FAIRBANKS DJ;BURGENER KW;ROBISON LR;ANDERSEN WR;BALLON E",1990,"PLANT BREEDING",51,"CHENOPODIUM QUINOA; GENETIC VARIATION; GLOBULINS; SEED PROTEINS","QUINOA (CHENOPODIUM QUINOA WILLD) IS AN IMPORTANT DOMESTICATED FOOD CROP OF THE ANDEAN HIGHLANDS WITH POTENTIAL AS AN ALTERNATIVE CROP ELSEWHERE. AMONG ITS MOST ATTRACTIVE CHARACTERISTICS ARE THE QUANTITY AND FAVORABLE AMINO ACID BALANCE OF THE SEED PROTEINS. THE OBJECTIVE OF THIS STUDY WAS TO CHARACTERIZE QUINOA SEED PROTEINS BY ELECTROPHORETIC MOBILITY, SOLUBILITY FRACTIONATION, AND GENETIC VARIABILITY FROM A WIDE GENETIC BASE. ELECTROPHORETIC PROFILES OF DENATURED ALBUMIN, GLOBULIN, PROLAMIN, AND GLUTELIN SOLUBILITY FRACTIONS DEMONSTRATED THAT QUINOA SEED POLYPEPTIDES COULD BE CLASSIFIED AS EITHER ALBUMIN OR GLOBULIN WITH MOST PREDOMINANT POLYPEPTIDES IN THE GLOBULIN FRACTION. INSIGNIFICANT AMOUNTS OF PROTEIN WERE PRESENT IN THE PROLAMIN FRACTION AND ALL POLYPEPTIDES IN THE GLUTELIN FRACTION HAD IDENTICAL ELECTROPHORETIC MOBILITIES TO ALBUMINS AND GLOBULINS. THREE GLOBULIN POLYPEPTIDES OF 34.3, 35.6, AND 36.2 KILODALTONS IN SIZE WERE HIGHLY VARIABLE WITHIN AND AMONG THE ACCESSIONS EXAMINED AND APPEAR TO BE CODED BY AT LEAST TWO LOCI. TWO‐DIMENSIONAL PEPTIDE MAPPING REVEALED THAT THESE THREE POLYPEPTIDES WERE HOMOLOGOUS. THESE HIGHLY VARIABLE MARKERS COULD BE USED FOR IDENTIFICATION AND CLASSIFICATION OF GERMPLASM AND ELUCIDATION OF SYSTEMATICS AND GENETIC VARIABILITY WITHIN THE QUINOA GERMPLASM POOL. ALL OTHER MAJOR POLYPEPTIDES WERE ELECTROPHORETICALLY INVARIANT AMONG THE ACCESSIONS EXAMINED. COPYRIGHT © 1990, WILEY BLACKWELL. ALL RIGHTS RESERVED"
"EFFECTS OF SALT STRESS ON TOLERANT ACCESSIONS OF QUINOA AT THE MORPHOLOGICAL AND METABOLIC LEVELS","CUEVA-FLORES L;GUTIERREZ-ROSALES R;ZEBALLOS O;CONDORI-APFATA J;LIPA-MAMANI L;MACEDO-VALDIVIA D;GOMEZ-PANDO L;ZHANG C;JELLEN EN;MAYTA ANCO ME",2024,"CHILEAN JOURNAL OF AGRICULTURAL RESEARCH",7,"CHENOPODIUM QUINOA; METABOLIC VARIABLES; MORPHOLOGICAL VARIABLES; NACL","QUINOA (CHENOPODIUM QUINOA WILLD.) IS A FACULTATIVE HALOPHYTE RECOGNIZED FOR ITS GENETIC VARIABILITY AND HIGH TOLERANCE TO SALINITY. THE OBJECTIVE OF THIS STUDY WAS TO EVALUATE THE EFFECT OF NACL ON THREE ACCESSIONS OF QUINOA FROM THE CAMACANI GERMPLASM BANK OF THE NATIONAL UNIVERSITY OF THE ALTIPLANO, PERÚ, AT THREE NACL CONCENTRATIONS (0, 200 AND 400 MM) UNDER GREENHOUSE CONDITIONS. FOUR MORPHOLOGICAL VARIABLES (PLANT HEIGHT, ROOT LENGTH, PERCENTAGE OF ROOT DM, AND AERIAL DM), AS WELL AS SEVEN METABOLIC VARIABLES (CHLOROPHYLL, PROLINE, PHENOLS, FLAVONOIDS, SAPONINS, AMINO ACIDS AND PROTEINS CONTENT BY SPECTROPHOTOMETRIC ANALYSIS) AND ELECTROLYTE LEAKAGE (EL) IN LEAVES WERE ANALYZED. INCREASING NACL EXPOSURE WAS POSITIVELY CORRELATED WITH INCREASES IN EL, PROLINE, AND SAPONIN, WHILE NEGATIVELY CORRELATED WITH LEAF PROTEIN CONTENT. IN ACCESSION PECQ 20037, FOR EXAMPLE, FOLIAR PROTEIN CONTENT VARIED FROM 18.7% AT 0 MM NACL TO 10.57% AT 400 MM NACL. THE RESULTS INDICATED THAT ACCESSIONS PECQ 20037 AND NEGRA ORURO TOLERATED THE 400 MM NACL CONCENTRATION BETTER THAN SAJAMA. © 2023 BY THE AUTHORS."
"ASSESSMENT OF GENETIC DIVERSITY PATTERNS IN CHILEAN QUINOA (CHENOPODIUM QUINOA WILLD.) GERMPLASM USING MULTIPLEX FLUORESCENT MICROSATELLITE MARKERS","FUENTES FF;MARTINEZ EA;HINRICHSEN PV;JELLEN EN;MAUGHAN PJ",2009,"CONSERVATION GENETICS",103,"CHENOPODIUM QUINOA; COASTAL QUINOA; GENETIC DIVERSITY; HIGHLAND QUINOA; MULTIPLEX FLUORESCENT SSR","QUINOA (CHENOPODIUM QUINOA WILLD.) IS A STAPLE SEED CROP IN THE ANDEAN REGION OF SOUTH AMERICA. IMPROVING QUINOA PRODUCTIVITY IS A PRIMARY FOOD-SECURITY ISSUE FOR THIS REGION, AND HAS BEEN PART OF THE IMPETUS FOR THE ESTABLISHMENT OF SEVERAL NEW QUINOA BREEDING PROGRAMS THROUGHOUT THE ANDEAN REGION. CHILEAN QUINOA HAS BEEN CHARACTERIZED AS MORPHOLOGICALLY DIVERSE AND BIFURCATED INTO COASTAL AND HIGHLAND ECOTYPES. THE SUCCESS OF EMERGING BREEDING PROGRAMS WILL RELY HEAVILY ON THE DEVELOPMENT OF CORE GERMPLASM COLLECTIONS AND GERMPLASM EVALUATION-ESPECIALLY OF THE COASTAL QUINOA ECOTYPES THAT ARE OFTEN NEGLECTED IN TRADITIONAL BREEDING PROGRAMS. THUS, THE OBJECTIVE OF THIS STUDY WAS TO CHARACTERIZE AND QUANTIFY THE GENETIC DIVERSITY WITHIN 28 ALTIPLANO AND 31 COASTAL CHILEAN ACCESSIONS OF QUINOA USING MICROSATELLITE MARKERS. TO FACILITATE THE ANALYSIS, WE ALSO REPORT THE DEVELOPMENT OF SEVEN SETS OF FLUORESCENT MULTIPLEXED MICROSATELLITE PCR REACTIONS THAT RESULT IN GENETIC INFORMATION FOR 20 HIGHLY POLYMORPHIC MICROSATELLITE LOCI. A TOTAL OF 150 ALLELES WERE DETECTED AMONG THE QUINOA ACCESSION, RANGING FROM 2 TO 20 ALLELES PER LOCUS AND AN AVERAGE 7.5 ALLELE/LOCUS. BOTH CLUSTER (UPGMA) AND PRINCIPAL COMPONENT ANALYSES SEPARATED THE ACCESSIONS INTO TWO DISCRETE GROUPS. THE FIRST GROUP CONTAINED QUINOA ACCESSIONS FROM THE NORTH (ANDEAN HIGHLANDS) AND THE SECOND GROUP CONSISTED OF ACCESSIONS FROM THE SOUTH (LOWLAND OR COASTAL). THREE ACCESSIONS FROM EUROPE WERE CLASSIFIED INTO THE SOUTHERN QUINOA GROUP. THE DATA OBTAINED IN THE DIVERSITY ANALYSES HIGHLIGHTS THE RELATIONSHIPS WITHIN AND AMONG NORTHERN AND SOUTHERN CHILEAN QUINOA ACCESSIONS AND PROVIDES THE QUINOA SCIENTIFIC COMMUNITY WITH A NEW SET OF EASY TO USE AND HIGHLY INFORMATIVE GENETIC MARKERS. © 2008 SPRINGER SCIENCE+BUSINESS MEDIA B.V."
"DEVELOPMENT AND USE OF MICROSATELLITE MARKERS FOR GERMPLASM CHARACTERIZATION IN QUINOA (CHENOPODIUM QUINOA WILLD.)","MASON SL;STEVENS MR;JELLEN EN;BONIFACIO A;FAIRBANKS DJ;COLEMAN CE;MCCARTY RR;RASMUSSEN AG;MAUGHAN PJ",2005,"CROP SCIENCE",72,"NA","QUINOA (CHENOPODIUM QUINOA WILLD.) IS A WIDELY CONSUMED FOOD CROP AND A PRIMARY PROTEIN SOURCE FOR MANY OF THE INDIGENOUS INHABITANTS OF THE ANDEAN REGION OF SOUTH AMERICA. THE OBJECTIVE OF THIS STUDY WAS TO DEVELOP A COLLECTION OF REPRODUCIBLE AND HIGHLY INFORMATIVE MICROSATELLITE MARKERS FOR QUINOA. A TOTAL OF 1276 CLONES WERE SEQUENCED FROM THREE MICROSATELLITE-ENRICHED (CA, ATT, ATG) LIBRARIES. FOUR HUNDRED FIFTY-SEVEN (36%) OF THE CLONES CONTAINED UNIQUE MICROSATELLITES. THE MOST COMMON REPEATED MOTIFS, OTHER THAN CA, AAT, AND ATG, WERE GA AND CAA. FLANKING PRIMERS WERE DESIGNED FOR 397 MICROSATELLITE LOCI AND SCREENED USING A PANEL OF DIVERSE QUINOA ACCESSIONS AND ONE ACCESSION OF C. BERLANDIERI MOQ., A WILD RELATIVE OF QUINOA. TWO HUNDRED EIGHT (52%) OF THE MICROSATELLITE MARKERS WERE POLYMORPHIC AMONG THE QUINOA ACCESSIONS. AN ADDITIONAL 25 OF THE MICROSATELLITE MARKERS (6%) WERE POLYMORPHIC WHEN THE C. BERLANDIERI ACCESSION WAS INCLUDED IN THE ANALYSIS. ONLY IN RARE INSTANCES (NINE) DID A MICROSATELLITE AMPLIFY IN QUINOA AND NOT IN C. BERLANDIERI. THE NUMBER OF OBSERVED ALLELES RANGED FROM 2 TO 13, WITH AN AVERAGE OF FOUR ALLELES DETECTED PER LOCUS. HETEROZYGOSITY VALUES RANGED FROM 0.20 TO 0.90 WITH A MEAN VALUE OF 0.57. SIXTY-SEVEN MARKERS (32%) WERE HIGHLY POLYMORPHIC (H ≥ 0.70). THESE MICROSATELLITES MARKERS ARE AN IDEAL RESOURCE FOR USE IN MANAGING QUINOA GERMPLASM, TRAIT MAPPING AND MARKER-ASSISTED HREEDING STRATEGIES. THE WIDE CROSS-SPECIES TRANSPORTABILITY OF THESE MARKERS MAY EXTEND THEIR VALUE TO RESEARCH INVOLVING OTHER CHENOPODIUM SPECIES. © CROP SCIENCE SOCIETY OF AMERICA."
